index,voltage
0,1.64938
1,1.65400
2,1.64725
3,1.65063
4,1.64463
5,1.65163
6,1.64750
7,1.65313
8,1.64925
9,1.65538
10,1.63763
11,1.65075
12,1.64763
13,1.64975
14,1.65188
15,1.64588
16,1.65050
17,1.65663
18,1.63488
19,1.66100
20,1.64263
21,1.65275
22,1.64825
23,1.64588
24,1.66750
25,1.63163
26,1.66250
27,1.64075
28,1.64400
29,1.66800
30,1.63338
31,1.65475
32,1.64825
33,1.63125
34,1.67238
35,1.63075
36,1.66338
37,1.65513
38,1.64888
39,1.65875
40,1.63063
41,1.65738
42,1.63600
43,1.65213
44,1.64213
45,1.63688
46,1.67638
47,1.62650
48,1.65588
49,1.66213
50,1.63013
51,1.68288
52,1.64775
53,1.63088
54,1.67538
55,1.64263
56,1.63738
57,1.65538
58,1.64013
59,1.65425
60,1.64663
61,1.64625
62,1.65525
63,1.64500
64,1.65425
65,1.65088
66,1.64200
67,1.64513
68,1.65413
69,1.65038
70,1.65125
71,1.65238
72,1.65150
73,1.64238
74,1.64763
75,1.64613
76,1.65275
77,1.65275
78,1.64025
79,1.65838
80,1.65450
81,1.64588
82,1.65000
83,1.64900
84,1.66050
85,1.63938
86,1.65413
87,1.65000
88,1.65575
89,1.65138
90,1.65200
91,1.65088
92,1.65600
93,1.64225
94,1.64900
95,1.64975
96,1.64738
97,1.65588
98,1.65425
99,1.64825
100,1.64900
101,1.64863
102,1.66000
103,1.64888
104,1.64713
105,1.64513
106,1.65150
107,1.64525
108,1.64800
109,1.65650
110,1.64938
111,1.65025
112,1.64813
113,1.65450
114,1.65775
115,1.65138
116,1.65138
117,1.64763
118,1.65663
119,1.65088
120,1.65350
121,1.64713
122,1.64650
123,1.64800
124,1.64838
125,1.64738
126,1.64575
127,1.65025
128,1.64788
129,1.65163
130,1.65013
131,1.64738
132,1.64563
133,1.65413
134,1.64813
135,1.64813
136,1.65113
137,1.65050
138,1.64888
139,1.64863
140,1.65600
141,1.65163
142,1.65025
143,1.64600
144,1.65413
145,1.64213
146,1.65088
147,1.64950
148,1.65000
149,1.64675
150,1.65125
151,1.65563
152,1.66000
153,1.64513
154,1.65125
155,1.65125
156,1.65200
157,1.65238
158,1.62025
159,1.64975
160,1.65988
161,1.64750
162,1.63925
163,1.65163
164,1.64713
165,1.65375
166,1.64763
167,1.65138
168,1.64550
169,1.64588
170,1.64963
171,1.64300
172,1.65150
173,1.64475
174,1.64363
175,1.64325
176,1.64888
177,1.64863
178,1.65688
179,1.64375
180,1.65550
181,1.65500
182,1.65125
183,1.64625
184,1.65000
185,1.65625
186,1.64863
187,1.64700
188,1.64500
189,1.65138
190,1.65100
191,1.64150
192,1.65813
193,1.64513
194,1.64413
195,1.65775
196,1.65188
197,1.64613
198,1.64375
199,1.64800
200,1.65950
201,1.64863
202,1.64288
203,1.65063
204,1.65413
205,1.65400
206,1.64338
207,1.64388
208,1.65875
209,1.64350
210,1.64788
211,1.65138
212,1.65150
213,1.64038
214,1.65313
215,1.65513
216,1.64688
217,1.64113
218,1.65113
219,1.65250
220,1.64563
221,1.65088
222,1.64625
223,1.64900
224,1.64500
225,1.65600
226,1.65575
227,1.64938
228,1.64175
229,1.64625
230,1.65125
231,1.65413
232,1.64400
233,1.64738
234,1.65425
235,1.64688
236,1.64113
237,1.65738
238,1.64350
239,1.65225
240,1.65850
241,1.64600
242,1.64725
243,1.64988
244,1.64775
245,1.65688
246,1.64138
247,1.64438
248,1.65588
249,1.64213
250,1.65275
251,1.65113
252,1.64413
253,1.65363
254,1.64813
255,1.64938
256,1.65113
257,1.65063
258,1.64850
259,1.64875
260,1.64663
261,1.65138
262,1.65050
263,1.65325
264,1.65375
265,1.65150
266,1.64863
267,1.64975
268,1.65100
269,1.63913
270,1.64925
271,1.65775
272,1.64513
273,1.64675
274,1.65538
275,1.65738
276,1.64375
277,1.64575
278,1.65400
279,1.65538
280,1.64125
281,1.64750
282,1.65700
283,1.65100
284,1.64263
285,1.65263
286,1.64325
287,1.65200
288,1.64963
289,1.64413
290,1.65538
291,1.65075
292,1.64850
293,1.65338
294,1.64538
295,1.64988
296,1.64663
297,1.65225
298,1.65288
299,1.65163
300,1.64463
301,1.64713
302,1.65338
303,1.64588
304,1.65375
305,1.65363
306,1.64475
307,1.65413
308,1.65300
309,1.65163
310,1.65013
311,1.64625
312,1.65188
313,1.66275
314,1.64463
315,1.64900
316,1.64813
317,1.64763
318,1.65013
319,1.64650
320,1.65475
321,1.65400
322,1.64425
323,1.65225
324,1.65250
325,1.64375
326,1.64363
327,1.65138
328,1.65388
329,1.64750
330,1.65050
331,1.64800
332,1.65363
333,1.64700
334,1.65063
335,1.65375
336,1.64625
337,1.64538
338,1.65175
339,1.65738
340,1.64713
341,1.64650
342,1.64913
343,1.64663
344,1.64788
345,1.65400
346,1.64688
347,1.65288
348,1.65300
349,1.64925
350,1.64663
351,1.65075
352,1.64900
353,1.65075
354,1.65975
355,1.64975
356,1.64575
357,1.65375
358,1.65188
359,1.65025
360,1.64913
361,1.64850
362,1.64875
363,1.64650
364,1.64838
365,1.65188
366,1.65038
367,1.65250
368,1.65213
369,1.65913
370,1.64350
371,1.64863
372,1.65150
373,1.65838
374,1.65100
375,1.65300
376,1.64575
377,1.65213
378,1.64625
379,1.64950
380,1.65175
381,1.64675
382,1.64325
383,1.64775
384,1.65113
385,1.65175
386,1.64088
387,1.65000
388,1.65750
389,1.65263
390,1.64238
391,1.65088
392,1.65413
393,1.64113
394,1.65000
395,1.65125
396,1.65300
397,1.64625
398,1.65200
399,1.63338
400,1.64775
401,1.65888
402,1.65613
403,1.64588
404,1.65475
405,1.65638
406,1.64700
407,1.65075
408,1.64588
409,1.64650
410,1.65325
411,1.64788
412,1.64800
413,1.65038
414,1.64438
415,1.65088
416,1.65063
417,1.64150
418,1.65238
419,1.65288
420,1.64800
421,1.64750
422,1.64875
423,1.64463
424,1.64063
425,1.65025
426,1.65700
427,1.64850
428,1.64300
429,1.65688
430,1.65638
431,1.65288
432,1.64725
433,1.65100
434,1.65050
435,1.64125
436,1.64513
437,1.64300
438,1.64500
439,1.64450
440,1.65175
441,1.66013
442,1.64825
443,1.65200
444,1.64338
445,1.65238
446,1.64225
447,1.66013
448,1.64975
449,1.65213
450,1.64288
451,1.64638
452,1.65850
453,1.64750
454,1.65300
455,1.65650
456,1.64988
457,1.65338
458,1.64825
459,1.65088
460,1.64425
461,1.63888
462,1.65850
463,1.65650
464,1.64663
465,1.64550
466,1.63438
467,1.65650
468,1.63938
469,1.64250
470,1.66050
471,1.65150
472,1.65200
473,1.65138
474,1.65725
475,1.64088
476,1.63763
477,1.63063
478,1.64763
479,1.65100
480,1.63975
481,1.66875
482,1.64000
483,1.65213
484,1.66100
485,1.63538
486,1.65125
487,1.64038
488,1.64588
489,1.63750
490,1.64300
491,1.66363
492,1.62963
493,1.67288
494,1.64713
495,1.64988
496,1.65288
497,1.65088
498,1.65925
499,1.64488
500,1.64763
501,1.65588
502,1.64913
503,1.64825
504,1.64463
505,1.65075
506,1.64938
507,1.64825
508,1.65963
509,1.64800
510,1.65388
511,1.64600
512,1.65588
513,1.65663
514,1.64638
515,1.65338
516,1.64500
517,1.64613
518,1.65363
519,1.63588
520,1.64088
521,1.63888
522,1.64563
